name,dorsal,team,position,age,height,weight,nationality,appearances,substitute_sppearances,total_goals,assists,shots,shots_on_target,fouls_committed,fouls_suffered,yellow_cards,red_cards,ratio_goalshots,ratio_assists_appearances,ratio_total_goalss_appearances,ratio_total_fouls_committed_appearances,ratio_total_fouls_suffered_appearances,ratio_total_yellow_cards_appearances,ratio_total_red_cards_appearances
Jérémy Blasco,32,real-sociedad,D,22,"1,85",77.4,France,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Aritz Arambarri,33,real-sociedad,D,23,"1,85",75.60000000000001,Spain,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urko Gonzalez,37,real-sociedad,D,20,"1,88",0.0,Spain,2,1,0,0,0,0,4,1,1,0,0.0,0.0,0.0,2.0,0.5,0.5,0.0
Asier Illarramendi,4,real-sociedad,M,31,"1,55",73.35000000000001,Spain,6,0,0,0,0,0,6,10,2,0,0.0,0.0,0.0,1.0,1.6666666666666667,0.3333333333333333,0.0
Igor Zubeldia,5,real-sociedad,M,24,"1,55",77.4,Spain,24,3,1,1,9,3,32,11,5,0,0.3333333333333333,0.041666666666666664,0.041666666666666664,1.3333333333333333,0.4583333333333333,0.20833333333333334,0.0
Mikel Merino,8,real-sociedad,M,24,"1,88",82.35000000000001,Spain,26,1,2,2,33,10,78,54,5,0,0.2,0.07692307692307693,0.07692307692307693,3.0,2.076923076923077,0.19230769230769232,0.0
Adnan Januzaj,11,real-sociedad,M,26,"1,85",75.60000000000001,Belgium,26,14,4,4,31,12,7,35,2,0,0.3333333333333333,0.15384615384615385,0.15384615384615385,0.2692307692307692,1.3461538461538463,0.07692307692307693,0.0
Jon Guridi,14,real-sociedad,M,26,"1,55",62.550000000000004,Spain,17,9,0,1,8,2,11,14,2,0,0.0,0.058823529411764705,0.0,0.6470588235294118,0.8235294117647058,0.11764705882352941,0.0
Ander Guevara,16,real-sociedad,M,23,"1,55",72.45,Spain,30,6,1,1,8,2,28,14,4,0,0.5,0.03333333333333333,0.03333333333333333,0.9333333333333333,0.4666666666666667,0.13333333333333333,0.0
David Silva,21,real-sociedad,M,35,"1,76",66.60000000000001,Spain,20,4,2,5,18,3,24,17,4,0,0.6666666666666666,0.25,0.1,1.2,0.85,0.2,0.0
Luca Sangalli,23,real-sociedad,M,26,"1,70",72.45,Spain,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Beñat Turrientes,27,real-sociedad,M,19,"1,55",0.0,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Robert Navarro,29,real-sociedad,M,19,"1,55",0.0,Spain,1,1,0,0,0,0,1,1,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
